Date/Time,Surface_10,Sub_Surface_2,Surface_11,Surface_13,Surface_14,Surface_2,Surface_20,Surface_22,Surface_5,Sub_Surface_1,Surface_1,Surface_15,Surface_21,Surface_9,Surface_12,Surface_18,Surface_24,Surface_6
 08/04  15:00:00,36.57826975,29.2980651,42.73318588,45.93910236,32.94648997,45.73103721,32.94648997,36.86443732,42.32523995,41.02988646,22.375,22.375,22.375,22.375,59.54570015,59.54140169,59.54621343,59.54073727
 08/04  16:00:00,36.13004939,29.88179021,39.35462868,45.47118523,33.14783177,45.27743309,33.14783177,36.4016389,39.02462062,38.46058799,22.375,22.375,22.375,22.375,52.61098662,52.56712936,52.61135909,52.56664714
 08/04  17:00:00,35.11956046,29.35967935,36.15418835,39.87932956,32.5515703,39.64078672,32.5515703,35.36216301,35.95754069,34.5005813,22.375,22.375,22.375,22.375,46.4376143,45.99942178,46.43789164,45.93156412
 08/04  18:00:00,32.90093495,28.68231662,33.00798721,34.61855089,30.68267122,33.81822048,30.68267122,33.08064287,32.88731514,30.20668555,22.375,22.375,22.375,22.375,38.23817301,38.07358617,38.4329783,37.80792416
 08/04  19:00:00,31.49757402,27.33583607,31.23542829,35.34600838,30.45317715,31.6315191,30.45317715,31.64024821,31.14542994,28.49569844,22.375,22.375,22.375,22.375,34.25956315,34.57494131,34.6981796,33.99135606
 08/04  20:00:00,29.71500487,25.23807445,29.23072,30.94371176,27.8231222,29.35948827,27.8231222,29.83240377,29.15522307,25.01534016,22.375,22.375,22.375,22.375,30.48160368,30.55322343,30.60491621,30.37676197
 08/04  21:00:00,28.62922629,24.20657914,28.06806632,28.939246,26.4490432,28.03211645,26.4490432,28.7383867,27.99902841,23.67822404,22.375,22.375,22.375,22.375,28.31015052,28.35998948,28.39035985,28.24739975
 08/04  22:00:00,27.60644248,23.37095921,27.03014606,27.54742605,25.45617506,26.91962657,25.45617506,27.70453506,26.9685756,22.78665253,22.375,22.375,22.375,22.375,26.19001492,26.23685188,26.24844564,26.15508623
 08/04  23:00:00,26.78064524,23.51969396,26.12674439,26.43210546,24.83870648,25.99932083,24.83870648,26.86319251,26.07696636,22.95269859,22.375,22.375,22.375,22.375,24.60054541,24.6406347,24.63770935,24.58866222
 08/04  24:00:00,26.42243273,23.53512339,25.75665353,25.95550537,24.58905126,25.61324826,24.58905126,26.49835471,25.71204918,23.01247826,22.375,22.375,22.375,22.375,23.84273764,23.87923807,23.86925605,23.84215637
 08/05  01:00:00,25.50980613,21.79375702,24.87588449,25.04384694,23.66972383,24.72619266,23.66972383,25.58196692,24.83189256,21.02881377,22.375,22.375,22.375,22.375,22.04958869,22.09155951,22.07148961,22.06093494
 08/05  02:00:00,24.24110002,20.63456343,23.60101197,23.75770545,22.52585277,23.48064632,22.52585277,24.30176435,23.56242996,19.51628351,22.375,22.375,22.375,22.375,20.132226,20.1771544,20.14759236,20.15564953
 08/05  03:00:00,23.80398503,20.81623639,23.12899047,23.28384826,22.1680325,23.03993155,22.1680325,23.85450881,23.09562077,19.84550606,22.375,22.375,22.375,22.375,19.4822663,19.52909843,19.49288437,19.5142478
 08/05  04:00:00,23.60422249,20.90487907,22.94276388,23.10884459,22.04970304,22.88798269,22.04970304,23.64433747,22.91395459,20.13046689,22.375,22.375,22.375,22.375,19.07668111,19.12760743,19.08420256,19.11708982
